unique-id,question-type,reference,notes
bq037,roadblocks,NA,
bq038,pressing-questions,NA,For each question they did NOT put in a reference
bq038,pathways,NA,
bq038,roadblocks,NA,
bq039,pressing-questions,NA,For each question they did NOT put in a reference
bq039,pathways,NA,
bq039,roadblocks,NA,
bq040,pressing-questions,NA,For each question they did NOT put in a reference
bq040,pathways,NA,
bq040,roadblocks,NA,
bq041,pressing-questions,"Bird, M. I., McBeath, A. V., Ascough, P. L., Levchenko, V. A., Wurster, C. M., Munksgaard, N. C., ... & Williams, A. (2017). Loss and gain of carbon during char degradation. Soil Biology and Biochemistry, 106, 80-89.","The survey response cites ""Bird et al. 2017""....This is the only reference I can find that seems related. Bird only has two publications that he is first author on in 2017 and they dont seem to match this context.....We added these two papers as relevant to surveyors response and possibilly what they were thinking of"
bq041,pressing-questions,"Bird, M. I., Wynn, J. G., Saiz, G., Wurster, C. M., & McBeath, A. (2015). The pyrogenic carbon cycle. Annual Review of Earth and Planetary Sciences, 43, 273-298.","The survey response cites ""Bird et al. 2017""....This is the only reference I can find that seems related. Bird only has two publications that he is first author on in 2017 and they dont seem to match this context.....We added these two papers as relevant to surveyors response and possibilly what they were thinking of"
bq041,pressing-questions,"Dove, N. C., Safford, H. D., Bohlman, G. N., Estes, B. L., & Hart, S. C. (2020). High‐severity wildfire leads to multi‐decadal impacts on soil biogeochemistry in mixed‐conifer forests. Ecological Applications, 30(4), e02072.","The survey response cites ""Dove et al. 2020""...this is one that is similar but there is also a 2022 paper of his that aligns with this theme...talked with Allison and decided all good in the hood"
bq041,pathways,NA,
bq041,roadblocks,"Matosziuk, L. M., Gallo, A., Hatten, J., Bladon, K. D., Ruud, D., Bowman, M., ... & Weiglein, T. (2020). Short-term effects of recent fire on the production and translocation of pyrogenic carbon in Great Smoky Mountains National Park. Frontiers in Forests and Global Change, 3, 6.",
bq041,roadblocks,"Brown, S. P., Veach, A. M., Horton, J. L., Ford, E., Jumpponen, A., & Baird, R. (2019). Context dependent fungal and bacterial soil community shifts in response to recent wildfires in the Southern Appalachian Mountains. Forest Ecology and Management, 451, 117520.",
bq041,roadblocks,"Hubert, M. M., & Papeş, M. (2019, August). Disentangling disturbances: Effects of fire severity and urbanization on plant communities in the Great Smoky Mountains National Park. In 2019 ESA Annual Meeting (August 11--16). ESA.",
bq042,pressing-questions,"Campbell, J. L., Rustad, L. E., Boyer, E. W., Christopher, S. F., Driscoll, C. T., Fernandez, I. J., ... & Ollinger, S. V. (2009). Consequences of climate change for biogeochemical cycling in forests of northeastern North America. Canadian Journal of Forest Research, 39(2), 264-284.",
bq042,pressing-questions,"Smith, G. R., Edy, L. C., & Peay, K. G. (2021). Contrasting fungal responses to wildfire across different ecosystem types. Molecular Ecology, 30(3), 844-854.",
bq042,pathways,"Kelly, L. T., & Brotons, L. (2017). Using fire to promote biodiversity. Science, 355(6331), 1264-1265.",
bq042,pathways,"Peters, D. P., Burruss, N. D., Rodriguez, L. L., McVey, D. S., Elias, E. H., Pelzel-McCluskey, A. M., ... & Vivoni, E. R. (2018). An integrated view of complex landscapes: a big data-model integration approach to transdisciplinary science. BioScience, 68(9), 653-669.",
bq042,roadblocks,NA,Revisit this one because I think someone else referenced this website which is a big report rather than a journal...Potentially bring this one in to the full text analysis but there is no abstract ttps://www.firescience.gov/Publications/JFSP-20yrs-Retrospective-Final.pdf
bq043,pressing-questions,NA,For each question they did NOT put in a reference
bq043,pathways,NA,
bq043,roadblocks,NA,
bq044,pressing-questions,NA,
bq044,pathways,"Wilkinson, M. D., Dumontier, M., Aalbersberg, I. J., Appleton, G., Axton, M., Baak, A., ... & Mons, B. (2016). The FAIR Guiding Principles for scientific data management and stewardship. Scientific data, 3(1), 1-9.",
bq044,roadblocks,"Crystal-Ornelas, R., & Lockwood, J. L. (2020). The ‘known unknowns’ of invasive species impact measurement. Biological Invasions, 22(4), 1513-1525.",
bq045,pressing-questions,NA,For each question they did NOT put in a reference
bq045,pathways,NA,
bq045,roadblocks,NA,
bq046,pressing-questions,NA,For each question they did NOT put in a reference
bq046,pathways,NA,
bq046,roadblocks,NA,
bq047,pressing-questions,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq047,pressing-questions,"Rust, A. J., Saxe, S., McCray, J., Rhoades, C. C., & Hogue, T. S. (2019). Evaluating the factors responsible for post-fire water quality response in forests of the western USA. International Journal of Wildland Fire, 28(10), 769-784.",
bq047,pressing-questions,"Chow, A. T., Tsai, K. P., Fegel, T. S., Pierson, D. N., & Rhoades, C. C. (2019). Lasting effects of wildfire on disinfection by‐product formation in forest catchments. Journal of Environmental Quality, 48(6), 1826-1834.",
bq047,pressing-questions,"Hohner, A. K., Rhoades, C. C., Wilkerson, P., & Rosario-Ortiz, F. L. (2019). Wildfires alter forest watersheds and threaten drinking water quality. Accounts of Chemical Research, 52(5), 1234-1244.",
bq047,pathways,"Rhoades, C. C., Nunes, J. P., Silins, U., & Doerr, S. H. (2019). The influence of wildfire on water quality and watershed processes: New insights and remaining challenges. International Journal of Wildland Fire, 28(10), 721-725.",
bq047,roadblocks,"McIver, J. D., Boerner, R. E., & Hart, S. C. (2008). The national fire and fire surrogate study: Ecological consequences of alternative fuel reduction methods in seasonally dry forests. Forest Ecology and Management, 255(8-9), 3075-3080.",
bq048,pressing-questions,NA,For each question they did NOT put in a reference
bq048,pathways,NA,
bq048,roadblocks,NA,
bq049,pressing-questions,NA,For each question they did NOT put in a reference
bq049,pathways,NA,
bq049,roadblocks,NA,
bq050,pressing-questions,"Nunes, J. P., Doerr, S. H., & Sheridan, G. Jonay Neris, Cristina Santın, Monica B. Emelko, Uldis Silins, Peter R. Robichaud, William J. Elliot, and Jacob Keizer. 2018.“Assessing Water Contamination Risk from Vegetation Fires: Challenges, Opportunities and a Framework for Progress.”. Hydrological Processes, 32(5), 687-694.",
bq050,pathways,NA,
bq050,roadblocks,NA,
bq051,pressing-questions,"Bruns, T. D., Chung, J. A., Carver, A. A., & Glassman, S. I. (2020). A simple pyrocosm for studying soil microbial response to fire reveals a rapid, massive response by Pyronema species. PLoS One, 15(3), e0222691.",
bq051,pressing-questions,"Filialuna, O., & Cripps, C. (2021). Evidence that pyrophilous fungi aggregate soil after forest fire. Forest Ecology and Management, 498, 119579.",
bq051,pressing-questions,"Fischer, M. S., Stark, F. G., Berry, T. D., Zeba, N., Whitman, T., & Traxler, M. F. (2021). Pyrolyzed substrates induce aromatic compound metabolism in the post-fire fungus, Pyronema domesticum. Frontiers in microbiology, 3085.",
bq051,pathways,NA,
bq051,roadblocks,NA,
bq052,pressing-questions,"Cochrane, M. A., Page, S., Hoscilo, A., Langner, A., Tansey, K., Siegert, F., ... & Rieley, J. (2009). Tropical peatland fires in Southeast Asia. Tropical fire ecology: climate change, land use, and ecosystem dynamics, 263-287.",
bq052,pressing-questions,"McShea, W. J., Davies, S. J., & Bhumpakphan, N. (Eds.). (2011). The ecology and conservation of seasonally dry forests in Asia. Smithsonian Institution Scholarly Press.","The survey response cites ""McShea et al. 2011"" and talks about forests response to fire in southeast Asia, so this is the closest thing I could find given the context...Francisco proposes the Sukmasuang et al. paper in the related papers...we are putting this Sikmasuang paper in related papers database....Find Zotero friendly paper for the one I have listed in the reference column"
bq052,pressing-questions,"Kolden, C. A., Smith, A. M., & Abatzoglou, J. T. (2015). Limitations and utilisation of Monitoring Trends in Burn Severity products for assessing wildfire severity in the USA. International Journal of Wildland Fire, 24(7), 1023-1028.",
bq052,pathways,"McLauchlan, K. K., Higuera, P. E., Miesel, J., Rogers, B. M., Schweitzer, J., Shuman, J. K., ... & Watts, A. C. (2020). Fire as a fundamental ecological process: Research advances and frontiers. Journal of Ecology, 108(5), 2047-2069.",
bq052,roadblocks,"McLauchlan, K. K., Higuera, P. E., Miesel, J., Rogers, B. M., Schweitzer, J., Shuman, J. K., ... & Watts, A. C. (2020). Fire as a fundamental ecological process: Research advances and frontiers. Journal of Ecology, 108(5), 2047-2069.",
bq053,pressing-questions,"Anderegg, W. R., Trugman, A. T., Badgley, G., Anderson, C. M., Bartuska, A., Ciais, P., ... & Randerson, J. T. (2020). Climate-driven risks to the climate mitigation potential of forests. Science, 368(6497), eaaz7005.","Survey cites ""Anderegg et al. 2021"" but I am pretty sure its this one...cross checked in the database and added both papers that were similar to the context...look at related papers zotero to check which ones were added"
bq053,pressing-questions,"Hallema, D. W., Sun, G., Caldwell, P. V., Norman, S. P., Cohen, E. C., Liu, Y., ... & McNulty, S. G. (2018). Burned forests impact water supplies. Nature communications, 9(1), 1307.",
bq053,pathways,"McWethy, D. B., Schoennagel, T., Higuera, P. E., Krawchuk, M., Harvey, B. J., Metcalf, E. C., ... & Kolden, C. (2019). Rethinking resilience to wildfire. Nature Sustainability, 2(9), 797-804.",
bq053,roadblocks,"Seidl, R. (2017). To model or not to model, that is no longer the question for ecologists. Ecosystems, 20(2), 222-228.",
bq053,roadblocks,"Hansen, W. D., Abendroth, D., Rammer, W., Seidl, R., & Turner, M. G. (2020). Can wildland fire management alter 21st‐century subalpine fire and forests in Grand Teton National Park, Wyoming, USA?. Ecological Applications, 30(2), e02030",
bq054,pressing-questions,NA,For each question they did NOT put in a reference
bq054,pathways,NA,
bq054,roadblocks,NA,
bq055,pressing-questions,"Sánchez-García, C., Oliveira, B. R., Keizer, J. J., Doerr, S. H., & Urbanek, E. (2020). Water repellency reduces soil CO2 efflux upon rewetting. Science of the Total Environment, 708, 135014.",
bq055,pressing-questions,"Masiello, C. A., & Berhe, A. A. (2020). First interactions with the hydrologic cycle determine pyrogenic carbon's fate in the Earth system. Earth Surface Processes and Landforms, 45(10), 2394-2398.",
bq055,pathways,"Van Rijnsoever, F. J., & Hessels, L. K. (2011). Factors associated with disciplinary and interdisciplinary research collaboration. Research policy, 40(3), 463-472.",
bq055,roadblocks,"Richter, D. D., Billings, S. A., Groffman, P. M., Kelly, E. F., Lohse, K. A., McDowell, W. H., ... & Zhang, G. (2018). Ideas and perspectives: Strengthening the biogeosciences in environmental research networks. Biogeosciences, 15(15), 4815-4832.",
bq056,pressing-questions,NA,For each question they did NOT put in a reference
bq056,pathways,NA,
bq056,roadblocks,NA,
bq057,pressing-questions,NA,For each question they did NOT put in a reference
bq057,pathways,NA,
bq057,roadblocks,NA,
bq058,pressing-questions,NA,For each question they did NOT put in a reference
bq058,pathways,NA,
bq058,roadblocks,NA,
bq059,pressing-questions,NA,For each question they did NOT put in a reference
bq059,pathways,NA,
bq059,roadblocks,NA,
bq060,pressing-questions,NA,For each question they did NOT put in a reference
bq060,pathways,NA,
bq060,roadblocks,NA,
bq061,pressing-questions,NA,For each question they did NOT put in a reference
bq061,pathways,NA,
bq061,roadblocks,NA,
bq062,pressing-questions,NA,For each question they did NOT put in a reference
bq062,pathways,NA,
bq062,roadblocks,NA,
bq063,pressing-questions,"Pérez‐Izquierdo, L., Clemmensen, K. E., Strengbom, J., Granath, G., Wardle, D. A., Nilsson, M. C., & Lindahl, B. D. (2021). Crown‐fire severity is more important than ground‐fire severity in determining soil fungal community development in the boreal forest. Journal of Ecology, 109(1), 504-518.",
bq063,pathways,"Blankinship, J. C., Berhe, A. A., Crow, S. E., Druhan, J. L., Heckman, K. A., Keiluweit, M., ... & Wieder, W. R. (2018). Improving understanding of soil organic matter dynamics by triangulating theories, measurements, and models. Biogeochemistry, 140, 1-13.",
bq063,pathways,"Clemmensen, K. E., Bahr, A., Ovaskainen, O., Dahlberg, A., Ekblad, A., Wallander, H., ... & Lindahl, B. (2013). Roots and associated fungi drive long-term carbon sequestration in boreal forest. Science, 339(6127), 1615-1618.",
bq063,roadblocks,"Blankinship, J. C., Berhe, A. A., Crow, S. E., Druhan, J. L., Heckman, K. A., Keiluweit, M., ... & Wieder, W. R. (2018). Improving understanding of soil organic matter dynamics by triangulating theories, measurements, and models. Biogeochemistry, 140, 1-13.",
bq063,roadblocks,"Prosser, J. I. (2020). Putting science back into microbial ecology: a question of approach. Philosophical Transactions of the Royal Society B, 375(1798), 20190240.",
bq064,pressing-questions,NA,For each question they did NOT put in a reference
bq064,pathways,NA,
bq064,roadblocks,NA,
bq065,pressing-questions,"Radeloff, V. C., Helmers, D. P., Kramer, H. A., Mockrin, M. H., Alexandre, P. M., Bar-Massada, A., ... & Stewart, S. I. (2018). Rapid growth of the US wildland-urban interface raises wildfire risk. Proceedings of the National Academy of Sciences, 115(13), 3314-3319.",
bq065,pressing-questions,NA,This link doesnt work: www.fs.fed.us/openspace/fote/reports/GTR-299.pdf
bq065,pathways,NA,
bq065,roadblocks,NA,
bq066,pressing-questions,NA,For each question they did NOT put in a reference
bq066,pathways,NA,
bq066,roadblocks,NA,
bq067,pressing-questions,"Bladon, K. D., Emelko, M. B., Silins, U., & Stone, M. (2014). Wildfire and the future of water supply.",
bq067,pressing-questions,"Emmerton, C. A., Cooke, C. A., Hustins, S., Silins, U., Emelko, M. B., Lewis, T., ... & Orwin, J. F. (2020). Severe western Canadian wildfire affects water quality even at large basin scales. Water Research, 183, 116071.",
bq067,pressing-questions,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq067,pathways,NA,
bq067,roadblocks,NA,
bq068,pressing-questions,NA,For each question they did NOT put in a reference
bq068,pathways,NA,
bq068,roadblocks,NA,
